Name,Started,County,Location,AcresBurned,PercentContained,Longitude,Latitude,Year,ExtinguishedTime
Fork Fire,2015-06-17 12:50:00+00:00,Tehama,"Off Lowery Rd, north of Paskenta",55.0,100.0,-122.552,40.0133,2015,5.67
Wildcat Fire,2015-06-17 17:03:00+00:00,San Diego,"Wildcat Canyon Rd and Barona Rd, east of Fernbrook",171.0,100.0,-116.8534,32.9421,2015,48.7
Lake Fire,2015-06-17 15:52:00+00:00,San Bernardino,"Off Hwy 38, south of Big Bear Lake",31359.0,100.0,-116.89277777778,34.160277777778,2015,1086.38
Triangle Fire,2015-06-18 12:03:00+00:00,Mariposa,"Triangle Rd and Nickel Plate Rd, north of Bootjack",60.0,100.0,0.0,0.0,2015,32.03
Collier Fire,2015-06-18 14:09:00+00:00,San Joaquin,"Jack Tone Rd & Collier Rd, east of Herald",122.0,100.0,0.0,0.0,2015,7.1
Cook Fire,2015-06-18 13:07:00+00:00,Yuba,"UC Field Station, Scott Forbes Road",158.0,100.0,-121.26471,39.2688,2015,94.63
Grapefruit Fire,2015-06-18 14:16:00+00:00,Riverside,Off Grapefruit Blvd in Thermal,60.0,100.0,0.0,0.0,2015,65.15
Sky Fire,2015-06-18 14:31:00+00:00,Madera,"Rd 632, 2 miles from Hwy 41, Community of Calvin Crest",500.0,100.0,0.0,0.0,2015,17.73
Corrine Fire,2015-06-18 21:00:00+00:00,Madera,"Road 222 and Tunoi Place, north of Auberry",920.0,100.0,-119.523943,37.165767,2015,165.75
Red Fire,2015-06-21 12:08:00+00:00,Madera,"Red Tail Road and Road 211, south of O'Neal",135.0,100.0,-119.6958,37.072561,2015,54.28
Dixie Fire,2015-06-19 16:15:00+00:00,Lassen,"Dixie Valley, south of Bieber",60.0,100.0,-121.033667,40.875667,2015,27.33
Park Hill Fire,2015-06-20 14:41:00+00:00,San Luis Obispo,"Park Hill Rd & Las Pilitas Rd, east of Santa Margarita",1791.0,100.0,0.0,0.0,2015,99.82
Tesla Fire,2015-06-25 16:10:00+00:00,Alameda,"off Tesla Road, southeast of Livermore",53.0,100.0,0.0,0.0,2015,2.58
River Fire,2015-06-22 07:00:00+00:00,Ventura," Acacia Way and Corporation Court, Santa Paula  ",164.0,100.0,0.0,0.0,2015,72.0
Washington Fire,2015-06-19 19:00:00+00:00,Alpine,south of Markleeville,0.0,100.0,-119.751944,38.598056,2015,65.08
Calgrove Fire ,2015-06-24 13:22:00+00:00,Los Angeles,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",415.0,100.0,-118.535793,34.361007,2015,51.63
Sterling Fire,2015-06-25 18:30:00+00:00,San Bernardino,Sterling Avenue x Foothill Drive East,100.0,100.0,-117.243878,34.165974,2015,86.5
Pleasure Fire,2015-06-27 12:51:00+00:00,Napa,"Steele Canyon Rd. and Headlands Dr., Lake Berryessa",19.0,100.0,-122.181878,38.519132,2015,29.15
Covelo Fire,2015-06-28 13:30:00+00:00,Mendocino,"off Highway 162 and Cemetery Lane, Covelo",35.0,100.0,-123.248214,39.7806004,2015,17.75
Mesa Fire,2015-06-29 13:11:00+00:00,Santa Barbara,off Burton Mesa Blvd in Lompoc,211.0,100.0,0.0,0.0,2015,3.9
Highway Fire,2015-06-30 15:23:00+00:00,Santa Clara,"off Hwy 101 near Monterey Frontage Rd, South of Gilroy",42.0,100.0,0.0,0.0,2015,74.53
Shinn Fire,2015-06-30 18:00:00+00:00,Lassen,"near Shinn Mountain, 10 miles southeast of Ravendale",111.0,100.0,0.0,0.0,2015,72.0
Webb Fire,2015-07-01 13:05:00+00:00,Butte,"off LaPorte Rd, east of Bangor",75.0,100.0,0.0,0.0,2015,7.25
Ione Fire,2015-07-02 08:58:00+00:00,Amador,"off Ione Rd & Hwy 16, east of Rancho Murietta",357.0,100.0,0.0,0.0,2015,-2.37
Merwin Fire,2015-07-01 20:38:00+00:00,Riverside,off Merwin St in Moreno Valley ,150.0,100.0,0.0,0.0,2015,64.37
Geary Fire,2015-07-02 04:40:00+00:00,Alameda,"off Geary Road in the Sunol Wilderness, 10 miles east of Fremont",45.0,100.0,0.0,0.0,2015,39.33
Black Fire,2015-07-04 16:33:00+00:00,Tehama,"off Black Butte Rd, near Black Butte Lake",170.0,100.0,-122.3638,39.8448,2015,3.7
Soda Fire,2015-07-04 15:30:00+00:00,Mendocino,"off Hwy 253, 4 miles northeast of Boonville (Mendocino County).",23.0,100.0,-123.303,39.0263,2015,17.5
Sky Fire,2015-07-06 10:47:00+00:00,Solano,"Mix Canyon Rd & Sky Ranch Road, northwest of Vacaville",150.0,100.0,-122.0789,38.4113,2015,57.97
Ascot Fire,2015-07-10 13:36:00+00:00,Solano,Lake Herman Rd and Sky Valley Rd,40.0,100.0,-122.1578,38.1029,2015,3.4
Keswick Fire,2015-07-07 12:34:00+00:00,Shasta,"Middle Creek Road, north of Hwy 299",18.0,100.0,-122.4397,40.5953,2015,27.93
Mill 2 Fire,2015-07-12 14:46:00+00:00,San Bernardino,"Mill Creek Rd and Bryant St, east of Mentone",54.0,100.0,-117.0487863,34.0783472,2015,208.57
Deer Fire,2015-07-10 12:41:00+00:00,San Luis Obispo,southwest of Lake Nacimiento ,95.0,100.0,-121.0157,35.7183,2015,114.32
Spider Fire,2015-07-12 13:52:00+00:00,Riverside,"San Timoteo Canyon Rd and Redlands Blvd, northeast of Moreno Valley",21.0,100.0,-117.43942,33.986204,2015,5.93
Mason Fire ,2015-07-09 15:00:00+00:00,Modoc,Near Clear Lake and Mason Reservoir,43.0,100.0,0.0,0.0,2015,92.0
241 Fire,2015-07-13 10:47:00+00:00,Orange,"Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)",214.0,100.0,-117.7274,33.7626,2015,55.97
Cooley Fire,2015-07-13 17:56:00+00:00,Siskiyou,5 miles North of the community of Montague on Cooley Rd,181.0,100.0,-122.5029,41.8048,2015,14.57
Lake Fire,2015-07-16 11:30:00+00:00,San Diego,"off Highway 76, near Moretti Junction, near Lake Henshaw",25.0,100.0,-116.73472,33.21407,2015,27.75
North Fire,2015-07-17 14:33:00+00:00,San Bernardino,"off Interstate 15, south of Oaks Hills, in the Cajon Pass area",4250.0,100.0,-117.478,34.339,2015,88.45
McCabe Fire,2015-07-18 22:27:00+00:00,Merced,"off McCabe Rd and I-5, north of San Luis Reservoir",1600.0,100.0,0.0,0.0,2015,56.8
Pines Fire ,2015-07-17 21:30:00+00:00,Los Angeles,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,200.0,100.0,-117.683,34.367,2015,418.75
Kerkhoff Fire,2015-07-18 16:31:00+00:00,Fresno,"off Powerhouse Rd, near Kercknoff Lake, north of the community of Auberry",60.0,100.0,0.0,0.0,2015,89.48
Betabel Fire,2015-07-20 13:23:00+00:00,San Benito,"off Hwy 101 between Anzar Rd & Hwy 156, in Aromas",25.0,100.0,-121.5681,36.8727,2015,2.12
Triple Fire,2015-07-21 12:35:00+00:00,Tulare,"Globe Dr and Mountain Rd, Springville",430.0,100.0,-118.824235,36.085212,2015,117.92
Dorris Fire,2015-07-21 17:00:00+00:00,Siskiyou,"Off Hwy 161 & Hwy 97, northeast of Dorris",24.0,100.0,-121.891226,41.999341,2015,24.0
Wragg Fire,2015-07-22 14:24:00+00:00,Napa,"Off of Hwy 128 near Greaves Rd, Lake Berryessa",8051.0,100.0,-122.1145,38.4994,2015,339.1
Baxter Fire,2015-07-22 18:17:00+00:00,Placer,"Baxter Grade Rd, 3 miles West of Auburn",26.0,100.0,-121.1548,38.9361,2015,1.55
3-11 Fire,2015-07-23 16:40:00+00:00,Modoc,"on Splawn Mountain, northeast of Bieber",116.0,100.0,-121.172117,41.29226,2015,65.5
3-12 Fire,2015-07-23 17:30:00+00:00,Modoc,"in Dixie Valley, southwest of Bieber",77.0,100.0,-121.101623,40.856422,2015,52.5
Cutca Fire,2015-07-24 16:18:00+00:00,San Diego,"On Palomar Mountain, north of the Palomar Observatory",167.0,100.0,-116.868611,33.383889,2015,38.45
Park Fire,2015-07-24 12:43:00+00:00,San Diego,"Off of Lake Morena Drive near Lake Morena Park, north of Campo",25.0,100.0,-116.51684,32.682547,2015,27.37
Creek Fire,2015-07-31 21:37:00+00:00,Merced,"off Hwy 152 & San Luis Creek, west of Santa Nella ",1450.0,100.0,0.0,0.0,2015,21.38
Lowell Fire,2015-07-25 14:37:00+00:00,Nevada,In the Steep Hollow drainage west of Alta,2304.0,100.0,-120.882313,39.192088,2015,436.63
Queen Fire,2015-07-24 23:00:00+00:00,Humboldt,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",158.0,100.0,-123.784067,41.295667,2015,190.75
Willow Fire,2015-07-25 14:30:00+00:00,Madera,"off of Willow Canyon Drive and Road 274, southeast of Bass Lake",5702.0,100.0,-119.50014,37.279722,2015,452.0
Mark Fire,2015-08-13 16:15:00+00:00,Calaveras,Marks Ranch Rd south of Angels Camp,114.0,100.0,-120.5577,38.052,2015,111.0
Sullivan Fire,2015-07-28 12:10:00+00:00,Stanislaus,"Sullivan Rd and Orestimba Rd, 10 miles West of Newman",40.0,100.0,-121.20324,37.24523,2015,2.83
Buck Fire,2015-07-28 17:19:00+00:00,Humboldt,off Alderpoint Road & Wallan Road near Garberville ,16.0,100.0,-123.774,40.1093,2015,73.68
Cabin Fire,2015-07-19 08:00:00+00:00,Tulare,"Golden Trout Wilderness, Sequoia National Forest",6980.0,100.0,-118.54,36.24,2015,1162.0
Swedes Fire,2015-07-29 11:25:00+00:00,Butte,"Swedes Flat Road, 3 miles north of Bangor",400.0,100.0,-121.38794,39.43963,2015,125.58
Rocky Fire,2015-07-29 15:29:00+00:00,Lake,"near Morgan Valley Road and Rocky Creek Road, east of Clear Lake",69636.0,100.0,-122.4762475,38.8863538,2015,386.77
Mallard Fire,2015-07-29 16:30:00+00:00,Shasta,off Mallard Way in Millville ,75.0,100.0,-122.199227,40.509552,2015,50.17
China Fire,2015-07-29 17:55:00+00:00,Shasta,"China Gulch, Happy Valley, Southwest of Redding",212.0,100.0,-122.439939,40.415108,2015,73.08
Big Creek Fire,2015-07-29 16:30:00+00:00,Tuolumne,off Hwy120 and Sprague Rd near Groveland ,204.0,100.0,-120.15644,37.823,2015,145.5
Tulloch Fire,2015-08-15 16:11:00+00:00,Tuolumne,"south of Hwy 108 & Tulloch Rd, south of Lake Tulloch",112.0,100.0,-120.61691,37.83618,2015,27.15
Vasco Fire,2015-07-30 11:18:00+00:00,Contra Costa,"Vasco Rd,  3 miles southwest of Byron",195.0,100.0,-121.68113,37.81629,2015,4.7
Sprig Fire,2015-07-30 12:57:00+00:00,Shasta,"Sprig Way and Millville Plains Rd, Millville; 10 miles southeast of Redding",90.0,100.0,-122.20109,40.49865,2015,29.55
Advance Fire,2015-07-30 12:40:00+00:00,Tulare,5 miles north of the community of Three Rivers near Advance,86.0,100.0,-118.90090000000001,36.49845,2015,149.08
Mendocino Lightning Fires,2015-07-30 13:36:00+00:00,Mendocino,Community of Willits and Brooktrails,50.0,100.0,-123.36316,39.43301,2015,91.32
Humboldt Lightning Fires,2015-07-30 16:02:00+00:00,Humboldt,"Alder Point-Blocksburg, Southeastern Humboldt County",4883.0,100.0,0.0,0.0,2015,483.22
Fork Complex,2015-07-30 21:30:00+00:00,Trinity,"Near the communities of Hayfork, Hyampom, and Harrison Gulch,",36503.0,100.0,0.0,0.0,2015,588.5
Mad River Complex,2015-07-30 16:00:00+00:00,Trinity,Near Ruth Lake area,0.0,100.0,0.0,0.0,2015,47.42
Anza Fire,2015-08-10 11:44:00+00:00,Riverside,Highway 74 east of Highway 371,500.0,100.0,-116.5387,33.5736,2015,125.77
Chorro Fire,2015-08-02 13:15:00+00:00,Ventura,"Maricopa Highway 33 & Chorro Grande Canyon, north of Ojai ",282.0,100.0,0.0,0.0,2015,234.75
Frog Fire,2015-07-30 17:45:00+00:00,Modoc,SW of Lava Campground,4863.0,100.0,-121.392,41.399,2015,26.25
River Complex,2015-07-30 22:30:00+00:00,Trinity,"Near the communities of Dailey Ranch, Hoboken, Denny and Trinity Village.",77081.0,100.0,0.0,0.0,2015,21.92
Fern Fire,2015-08-02 03:00:00+00:00,Shasta,"Fern Rd and Oak Run Rd, 1 mile east of the Community of Oak Run",75.0,100.0,-121.93244,40.67868,2015,63.0
White Fire,2015-08-01 14:32:00+00:00,Santa Barbara,"off White Oak Ln, east of Santa Maria",52.0,100.0,-120.2903,34.9522,2015,43.31
Scales Fire,2015-08-01 13:04:00+00:00,San Bernardino,"Cajon Pass, I-15 and Highway 138",65.0,100.0,0.0,0.0,2015,91.93
Francis Fire,2015-08-03 18:07:00+00:00,Yuba,Colgate Powerhouse south of Dobbins,30.0,100.0,-121.18735,39.33303,2015,37.38
South Complex,2015-07-30 16:00:00+00:00,Trinity,Hyampom area,29416.0,100.0,0.0,0.0,2015,94.0
Point Fire,2015-08-03 14:28:00+00:00,Shasta,"Gas Point and Happy Valley Rd, west of Cottonwood",59.0,100.0,-122.40546,40.3929,2015,17.78
Nickowitz Fire,2015-08-01 23:23:00+00:00,Del Norte,near Orleans,7509.0,100.0,0.0,0.0,2015,2388.62
Gasquet Complex,2015-07-31 21:00:00+00:00,Del Norte,Gasquet area,30361.0,100.0,0.0,0.0,2015,84.0
Mendocino National Forest Lightning Complex,2015-07-30 14:00:00+00:00,Mendocino,throughout Mendocino National Forest,227.0,100.0,0.0,0.0,2015,199.0
Dodge Fire,2015-08-03 14:15:00+00:00,Lassen,17 miles northeast of Ravendale,10570.0,100.0,-120.105,40.938,2015,20.37
De Luz Fire,2015-08-09 08:22:00+00:00,San Diego,De Luz Rd and De Luz Murrieta Rd,55.0,100.0,-117.2886249,33.4115972,2015,30.72
36 Fire,2015-08-08 14:55:00+00:00,Tehama,off Highwat 36 near Paynes Creek,110.0,100.0,-121.7786799,40.3506868,2015,29.58
Jerusalem Fire,2015-08-09 15:34:00+00:00,Napa,"Jerusalem Valley area, northeast of Middletown",25118.0,100.0,-122.4867319,38.8142503,2015,375.18
Horno Fire,2015-08-13 13:03:00+00:00,San Diego,Camp Pendleton,1850.0,100.0,0.0,0.0,2015,125.95
Rustic Fire,2015-08-14 15:22:00+00:00,Ventura,Rustic Hills Drive in the Wood Ranch area Simi Valley,186.0,100.0,0.0,0.0,2015,44.63
Warm Fire,2015-08-16 15:30:00+00:00,Los Angeles,Lake Hughes Rd at Warm Springs Rehab Center,300.0,100.0,0.0,0.0,2015,4.5
Cuesta Fire,2015-08-16 18:13:00+00:00,San Luis Obispo,"Off Highway 101 in the Cuesta Grade, north of San Luis Obispo",2446.0,100.0,-120.6269,35.3477,2015,288.03
Lincoln Fire,2015-08-16 13:30:00+00:00,Los Angeles,"off Lincoln Ave, in the Whittier Narrows Park, City of Montebello",374.0,100.0,0.0,0.0,2015,90.67
Horse Fire,2015-08-18 18:30:00+00:00,Humboldt,"Saddle Mountain Road, 6 miles NE Shelter Cove",146.0,100.0,-124.0720419,40.1058823,2015,252.5
Tesla Fire,2015-08-19 14:45:00+00:00,Alameda,"off Tesla Rd near Correl Hollow, between Livermore and Tracy",2850.0,100.0,-121.3732,37.3845,2015,75.75
Grade Fire,2015-08-24 12:12:00+00:00,Lake,"Jerusalem Grade Rd & June Bug Rd, 7 miles northeast of Middletown",22.0,100.0,-122.53428,38.831478,2015,30.3
Flat Fire ,2015-08-20 15:57:00+00:00,Kern,"southeast of Woody, south of Poso Flat Road & Burke Creek",167.0,100.0,0.0,0.0,2015,26.8
Prairie Fire,2015-08-20 16:00:00+00:00,Siskiyou,LaHonda Well area northeast of the community of Tennant,69.0,100.0,0.0,0.0,2015,50.0
Peterson Fire,2015-08-22 17:30:00+00:00,Lake,"off Peterson Lane and Adobe Creek Road, near Kelseyville",215.0,100.0,-122.879272,38.925764,2015,117.75
Summit Fire,2015-08-23 12:25:00+00:00,San Bernardino,"at Knickerbocker Road and Pine Knot, south of Big Bear Lake",55.0,100.0,-116.883,34.23,2015,458.58
Democrat Fire,2015-08-25 14:08:00+00:00,Trinity,"Democrat Gulch, west of Weaverville ",128.0,100.0,-122.96174,40.724898,2015,100.62
Elk Fire,2015-09-02 14:57:00+00:00,Lake,"Off of Elk Mountain Road and Mount Dinger Road, north of Upper Lake",673.0,100.0,-122.0,55.23,2015,148.52
Olive Fire,2015-09-02 13:18:00+00:00,Butte,"Off of Olive Tree Lane, south of Oroville ",72.0,100.0,-121.0,26.42,2015,30.28
Kramer Fire ,2015-08-29 16:06:00+00:00,Lassen,"off of Kramer Road and 4 Corners Road, west of Beiber ",30.0,100.0,-121.194256,41.12362,2015,15.9
Oak Fire,2015-09-08 13:23:00+00:00,Tuolumne,"off Old Oak Ranch Rd & Big Hill Rd in the Cedar Ridge area, northeast of Sonora ",108.0,100.0,-120.30188,38.04684,2015,173.87
Apple Fire,2015-09-03 12:12:00+00:00,Sacramento,Off Apple Rd in Wilton,110.0,100.0,0.0,0.0,2015,2.3
Browns Fire,2015-09-08 15:56:00+00:00,Trinity,Hwy 299 and Little Browns Creek Rd east of Weaverville,35.0,100.0,41.46,40.0,2015,49.15
Antelope Fire,2015-09-09 11:45:00+00:00,Kern,Antelope Canyon south of Tehachapi,45.0,100.0,0.0,0.0,2015,151.42
Center Fire,2015-09-09 14:12:00+00:00,Lassen,"Center Rd, east of Susanville",40.0,100.0,-120.553075,40.400196,2015,17.62
Creek Fire,2015-09-09 14:30:00+00:00,Fresno,Squaw Valley Road and Sand Creek Road,170.0,100.0,-120.553075,40.400196,2015,52.78
Butte Fire,2015-09-09 14:26:00+00:00,Butte,east of Jackson,70868.0,100.0,-120.70418,38.32974,2015,869.32
Pacheco Fire,2015-09-09 15:58:00+00:00,Santa Clara,"off Hwy 152 at Dinosaur Point, 3 miles west of San Luis Reservoir",215.0,100.0,0.0,0.0,2015,26.87
Tenaya Fire,2015-09-07 21:23:00+00:00,Mariposa,"north rim of Yosemite Valley, east of Yosemite Falls",415.0,100.0,0.0,0.0,2015,85.62
Lumpkin Fire,2015-09-11 14:15:00+00:00,Butte,"off Lumpkin Road and Forbestown Road, Robinson Mill",1040.0,100.0,-121.3363,39.5218,2015,149.25
Walker Fire,2015-09-11 15:08:00+00:00,Shasta,Windwalker Ln & Small Farms Dr in Igo,109.0,100.0,-122.52541,40.47512,2015,43.12
Banister Fire,2015-11-11 17:40:00+00:00,Ventura,off Wood Ranch Parkway 2 miles sw of Simi Valley,29.0,100.0,0.0,0.0,2015,24.33
Valley Fire,2015-09-12 13:24:00+00:00,Lake,southern Lake County,76067.0,100.0,0.0,0.0,2015,798.35
Munjar Fire,2015-10-02 14:38:00+00:00,Butte,"Munjar Rd, 10 miles north of Chico",104.0,100.0,-121.8938,39.8707,2015,3.2
Rough Fire ,2015-07-31 19:00:00+00:00,Fresno,5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5,151623.0,100.0,-118.905,36.874,2015,2417.0
Potrero Fire,2015-11-07 01:45:00+00:00,Ventura,"Hidden Valley area, southwest of Thousand Oaks",50.0,100.0,-118.879444,34.15,2015,15.0
Meridian Fire,2015-10-03 21:15:00+00:00,Butte,"off Hwy 99 & Meridian Rd, north of Chico",860.0,100.0,0.0,0.0,2015,21.42
Military Fire,2015-10-10 12:00:00+00:00,Siskiyou,Along Military Pass Road ,58.0,100.0,0.0,0.0,2015,6.75
Cienega Fire,2015-10-12 16:00:00+00:00,San Benito,"Cienega Rd & Limekiln Rd, south of Hollister",690.0,100.0,-121.32734,36.70854,2015,98.0
Gibraltar Fire,2015-10-29 05:30:00+00:00,Santa Barbara,between Montecito Peak and Coldspring Saddle,21.0,100.0,-119.63216,34.4828,2015,270.5
McCourtney Fire,2015-09-22 07:00:00+00:00,Nevada,"off McCourtney Rd & Perimeter Rd, east of Camp Far West Reservoir ",30.0,100.0,-121.194,39.081,2015,-16.4
Tassajara Fire,2015-09-19 15:00:00+00:00,Monterey,Tassajara Rd at Carmel Valley Rd,1086.0,100.0,-121.589554,36.3699644,2015,195.25
Laureles Fire,2015-09-19 15:25:00+00:00,Monterey,off Laureles Grade and Highway 68 ,95.0,100.0,-121.7556029,36.5696373,2015,50.92
Creek Fire,2016-10-10 16:13:00+00:00,Napa,Dry Creek Road 3 miles west of Yountville,65.0,100.0,-122.43172,38.40958,2016,49.78
Taglio Fire,2016-04-24 11:10:00+00:00,Merced,"I-5 & Taglio Road, east of Gustine",30.0,100.0,-121.08036,37.2171,2016,4.33
Gorman Fire,2016-04-19 13:09:00+00:00,Los Angeles,off northbound Interstate 5 at Gorman Creek,0.0,100.0,-118.7892593,34.6888731,2016,2.35
Casitas Fire,2016-04-28 19:00:00+00:00,Ventura,"near Casitas Vista and Ventura Avenue, south of Casitas Springs  ",50.0,100.0,0.0,0.0,2016,36.0
Tulloch Fire,2016-05-30 15:10:00+00:00,Tuolumne,"off New Peoria Flat Road and Old Melones Road, west of Sonora",85.0,100.0,-120.528836,37.927613,2016,52.58
Hills Fire,2016-04-28 17:45:00+00:00,Fresno,four miles Northwest of Panoche and Interstate 5 ,151.0,100.0,0.0,0.0,2016,23.5
Metz Fire,2016-05-22 15:27:00+00:00,Monterey,"Metz Rd & Blue Jay Ln, southeast of Soledad",3876.0,100.0,-121.20059,36.38123,2016,74.8
Wheatland Fire,2016-05-23 14:15:00+00:00,Los Angeles,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",156.0,100.0,-118.354,34.276,2016,52.5
DeWolf Fire,2016-05-25 01:03:00+00:00,Fresno,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",278.0,100.0,-119.654,36.88286,2016,6.95
Old Fire,2016-06-04 16:09:00+00:00,Los Angeles,"off of Old Topanga Canyon Road and Mulholland Hwy, Calabasas",0.0,100.0,0.0,0.0,2016,212.35
Coe Fire,2016-06-07 16:30:00+00:00,Stanislaus,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",120.0,100.0,-121.42238,37.17072,2016,48.67
Fiddler Fire,2016-05-25 16:51:00+00:00,Shasta,"off Fiddler Rd and Straight Arrow Rd, 8 miles east of Ono",11.0,100.0,0.0,0.0,2016,3.15
Dunstone Fire,2016-05-27 13:43:00+00:00,Butte,"La Porte Road at Dunstone Road, west of Bangor ",91.0,100.0,-121.78973,39.33035,2016,3.28
70 Fire,2016-05-29 16:51:00+00:00,Butte,Hwy 70 between Clark Rd and Wheelock Rd,30.0,100.0,-121.595093,39.624017,2016,3.03
Shedd Fire,2016-05-10 16:11:00+00:00,San Luis Obispo,Wood Canyon Rd & Hwy 41,150.0,100.0,-120.39993,35.61961,2016,2.57
Bryson Fire,2016-05-12 14:13:00+00:00,Monterey,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",25.0,100.0,-121.0381507,35.8378273,2016,6.53
Edison Fire,2016-05-12 14:13:00+00:00,Ventura,North of Ventura,20.0,100.0,0.0,0.0,2016,32.28
Avocado Fire,2016-05-15 16:38:00+00:00,Fresno,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",132.0,100.0,-119.38248,36.78769,2016,50.53
Athens Fire,2016-05-17 15:06:00+00:00,Placer,"Off Athens Ave & Industrial Blvd, south of Lincoln",169.0,100.0,-121.3090268,38.8390117,2016,50.9
Roberts Fire,2016-05-18 14:27:00+00:00,San Luis Obispo,10 miles northwest of Paso Robles on Camp Roberts Military Base,3712.0,100.0,0.0,0.0,2016,51.55
Mill Fire,2016-05-19 15:37:00+00:00,Siskiyou,"Old Dump Road/T-3 Road, 2 miles east of Weed",56.0,100.0,0.0,0.0,2016,51.38
Walker Fire,2016-05-30 17:57:00+00:00,Kern,"Jacobs Road, community of Caliente",43.0,100.0,0.0,0.0,2016,119.05
Pala Fire,2016-05-31 13:48:00+00:00,San Diego,"in the 38000 block of Pala Temecula Road, Temecula",70.0,100.0,-117.08829,33.41639,2016,160.95
Chimney Fire,2016-06-01 15:35:00+00:00,Tulare,15 miles northeast of Kernville,0.0,100.0,-118.08591,35.84883,2016,434.42
San Gabriel Complex (Formerly Fish & Reservoir Fires),2016-06-20 13:59:00+00:00,Los Angeles,south of Azusa,5399.0,100.0,0.0,0.0,2016,16129.13
Coal Fire,2016-06-20 16:38:00+00:00,Butte,"Off Coal Canyon Rd & Hwy 70, north of Oroville",112.0,100.0,-121.6008,39.595,2016,3.2
Frazier Fire,2016-06-27 12:07:00+00:00,San Luis Obispo,off Nacimiento Lake Dr. and Frazier Rd.,86.0,100.0,-120.82266,35.70821,2016,52.88
Campo Fire,2016-06-27 18:00:00+00:00,Calaveras,"off Campo Seco and Chili Camp Road, near Burson ",33.0,100.0,-120.8678,38.22017,2016,61.0
